Adana ADNTOCDELLOSS01;Latency;Read Latency;Write Latency;Avg. Size;Read Size;Write Size;Total IOPS;Read IOPS;Write IOPS;CPU Utilization
2025-10-13 17:00:00;0,33;1,18;0,18;85;505;10;0.718;0.109;0.609;%1.0
2025-10-13 18:00:00;0,34;1,18;0,19;85;506;10;0.721;0.110;0.611;%5.0
2025-10-13 19:00:00;0,33;1,16;0,18;85;504;10;0.722;0.110;0.611;%1.0
2025-10-13 20:00:00;0,33;1,14;0,18;85;497;10;0.724;0.112;0.612;%1.0
2025-10-13 21:00:00;0,33;1,16;0,18;86;503;10;0.723;0.111;0.612;%1.0
2025-10-13 22:00:00;0,33;1,16;0,18;86;506;10;0.715;0.110;0.605;%5.0
2025-10-13 23:00:00;0,33;1,17;0,18;86;505;10;0.720;0.111;0.610;%1.0
2025-10-14 00:00:00;0,33;1,17;0,18;85;502;10;0.724;0.111;0.613;%1.0
2025-10-14 01:00:00;0,33;1,18;0,18;85;504;10;0.721;0.110;0.612;%1.0
2025-10-14 02:00:00;0,33;1,16;0,18;84;499;10;0.727;0.110;0.616;%1.0
2025-10-14 03:00:00;0,33;1,01;0,18;84;418;10;0.746;0.136;0.610;%1.0
2025-10-14 04:00:00;0,33;1,13;0,18;85;486;10;0.720;0.114;0.605;%1.0
2025-10-14 05:00:00;0,33;1,11;0,18;84;469;10;0.728;0.118;0.610;%1.0
2025-10-14 06:00:00;0,33;1,15;0,18;85;492;10;0.722;0.112;0.610;%1.0
2025-10-14 07:00:00;0,37;0,61;0,18;96;211;10;1.068;0.459;0.610;%2.0
2025-10-14 08:00:00;0,33;1,16;0,18;86;503;10;0.720;0.111;0.609;%1.0
2025-10-14 09:00:00;0,33;1,15;0,18;86;504;10;0.721;0.111;0.611;%1.0
2025-10-14 10:00:00;0,33;1,19;0,18;85;505;10;0.715;0.108;0.607;%1.0
2025-10-14 11:00:00;0,33;1,17;0,18;86;507;10;0.720;0.110;0.610;%5.0
2025-10-14 12:00:00;0,33;1,18;0,18;85;507;10;0.720;0.109;0.611;%1.0
2025-10-14 13:00:00;0,33;1,17;0,18;85;505;10;0.724;0.110;0.613;%1.0
2025-10-14 14:00:00;0,33;1,09;0,18;84;462;10;0.736;0.121;0.615;%1.0
2025-10-14 15:00:00;0,33;1,16;0,18;85;503;10;0.723;0.111;0.612;%1.0
2025-10-14 16:00:00;0,34;1,17;0,18;86;504;10;0.716;0.110;0.606;%4.0
2025-10-14 17:00:00;0,33;1,19;0,18;85;508;10;0.715;0.108;0.607;%2.0
2025-10-14 18:00:00;0,34;1,18;0,18;85;508;10;0.721;0.110;0.611;%1.0
2025-10-14 19:00:00;0,33;1,17;0,18;85;502;10;0.722;0.111;0.611;%1.0
2025-10-14 20:00:00;0,33;1,17;0,18;86;503;10;0.721;0.111;0.610;%1.0
2025-10-14 21:00:00;0,33;1,17;0,18;85;506;10;0.720;0.110;0.610;%1.0
2025-10-14 22:00:00;0,33;1,17;0,18;86;506;10;0.718;0.110;0.607;%1.0
2025-10-14 23:00:00;0,33;1,12;0,18;85;478;10;0.725;0.117;0.609;%1.0
2025-10-15 00:00:00;0,33;1,16;0,18;84;492;10;0.721;0.112;0.610;%1.0
2025-10-15 01:00:00;0,33;1,18;0,18;85;504;10;0.721;0.109;0.612;%1.0
2025-10-15 02:00:00;0,33;1,16;0,18;85;499;10;0.724;0.112;0.612;%1.0
2025-10-15 03:00:00;0,33;1,01;0,18;84;417;10;0.741;0.134;0.607;%1.0
2025-10-15 04:00:00;0,33;1,14;0,18;86;487;10;0.712;0.114;0.598;%1.0
2025-10-15 05:00:00;0,33;1,14;0,18;86;489;10;0.716;0.113;0.603;%2.0
2025-10-15 06:00:00;0,33;1,13;0,18;85;482;10;0.721;0.115;0.606;%5.0
2025-10-15 07:00:00;0,37;0,63;0,18;97;218;10;1.057;0.445;0.612;%2.0
2025-10-15 08:00:00;0,33;1,16;0,18;86;504;10;0.724;0.111;0.613;%1.0
2025-10-15 09:00:00;0,33;1,17;0,18;85;502;10;0.722;0.111;0.611;%1.0
2025-10-15 10:00:00;0,33;1,09;0,18;84;452;10;0.730;0.122;0.607;%3.0
2025-10-15 11:00:00;0,33;1,18;0,18;86;507;10;0.720;0.110;0.610;%3.0
2025-10-15 12:00:00;0,33;1,17;0,18;85;504;10;0.721;0.110;0.612;%1.0
2025-10-15 13:00:00;0,33;1,18;0,18;86;507;10;0.720;0.110;0.610;%1.0
2025-10-15 14:00:00;0,33;1,12;0,18;84;473;10;0.732;0.117;0.615;%1.0
2025-10-15 15:00:00;0,33;1,18;0,18;85;507;10;0.721;0.109;0.612;%1.0
2025-10-15 16:00:00;0,33;1,15;0,18;86;493;10;0.718;0.114;0.604;%1.0
2025-10-15 17:00:00;0,33;1,18;0,18;85;504;10;0.716;0.109;0.607;%1.0
2025-10-15 18:00:00;0,33;1,17;0,18;85;503;10;0.719;0.110;0.609;%1.0
2025-10-15 19:00:00;0,33;1,17;0,18;85;505;10;0.718;0.110;0.609;%1.0
2025-10-15 20:00:00;0,33;1,15;0,18;85;494;10;0.722;0.113;0.610;%1.0
2025-10-15 21:00:00;0,33;1,17;0,18;85;502;10;0.717;0.110;0.607;%1.0
2025-10-15 22:00:00;0,34;1,16;0,18;86;503;10;0.712;0.111;0.601;%5.0
2025-10-15 23:00:00;0,33;1,16;0,18;87;504;10;0.712;0.111;0.601;%1.0
2025-10-16 00:00:00;0,33;1,15;0,18;86;497;10;0.717;0.113;0.604;%1.0
2025-10-16 01:00:00;0,33;1,14;0,18;85;487;10;0.723;0.114;0.610;%1.0
2025-10-16 02:00:00;0,33;1,11;0,18;84;474;10;0.731;0.117;0.613;%1.0
2025-10-16 03:00:00;0,33;1,03;0,18;84;419;10;0.744;0.134;0.610;%5.0
2025-10-16 04:00:00;0,33;1,14;0,18;86;489;9;0.718;0.114;0.603;%1.0
2025-10-16 05:00:00;0,33;1,13;0,18;85;482;10;0.722;0.115;0.607;%1.0
